Storage_GB,Price_COP
256,2155000
2048,3186000
512,1818000
512,1933000
256,1199000
256,1866000
128,1361000
1024,2502000
512,1582000
512,2188000
128,1476000
2048,3916000
1024,1974000
256,1512000
256,1018000
256,1219000
256,1678000
512,2113000
256,2616000
256,1392000
512,1288000
128,1617000
256,979000
256,1656000
512,1460000
1024,2206000
256,1867000
512,1617000
512,2034000
128,1664000
512,915000
256,1070000
128,900000
1024,2922000
2048,3001000
1024,2834000
256,900000
128,1086000
512,1981000
256,1502000
128,1528000
512,1159000
128,1866000
1024,2432000
256,1591000
512,1387000
256,1560000
512,1544000
512,1001000
256,1410000
2048,2981000
1024,2547000
1024,1228000
1024,2216000
512,1199000
1024,2249000
128,1465000
256,1396000
128,1638000
256,932000
256,1873000
256,1147000
1024,1499000
256,1321000
256,900000
512,1762000
128,1211000
1024,2615000
128,1575000
2048,2486000
1024,1786000
256,1639000
128,1654000
1024,2611000
512,2147000
512,1625000
1024,2267000
128,1835000
256,1309000
128,1467000
1024,1991000
512,1440000
256,1450000
128,1040000
256,1378000
256,1016000
512,1585000
512,1840000
1024,1886000
512,1665000
128,1371000
512,1842000
1024,2068000
512,2095000
1024,1281000
512,2836000
512,1312000
256,1592000
128,940000
128,1573000
128,1426000
512,1401000
256,1860000
512,1595000
1024,2340000
256,1064000
256,1418000
1024,2923000
256,1816000
128,1438000
256,1251000
256,1457000
1024,2201000
1024,2301000
512,1230000
1024,2389000
1024,1686000
256,2083000
1024,1813000
512,1779000
1024,2524000
1024,2021000
256,1567000
128,1889000
256,1656000
256,1573000
1024,1448000
1024,1748000
128,1734000
512,1889000
256,1719000
256,1685000
128,1831000
256,1326000
1024,2170000
256,1019000
512,1150000
512,1003000
256,1076000
2048,3664000
2048,2422000
256,1309000
512,1144000
256,1190000
256,1498000
128,1035000
512,2097000
512,2274000
128,900000
256,1157000
1024,2145000
256,1881000
128,1134000
512,1653000
2048,2581000
256,900000
512,2239000
1024,1392000
256,2362000
512,1951000
256,1702000
512,1891000
512,1560000
512,1818000
128,1240000
1024,2343000
256,1417000
256,1050000
128,967000
512,1267000
512,2049000
128,1068000
512,900000
256,1589000
512,2267000
256,1740000
512,1419000
256,900000
1024,2068000
128,1252000
256,1043000
128,1536000
1024,2860000
1024,2211000
256,1495000
512,1286000
1024,2681000
512,1631000
512,1429000
256,1456000
128,1504000
1024,2177000
1024,2604000
512,1814000
256,1317000
256,1591000
512,1861000
1024,1603000
1024,2581000
1024,2001000
512,1551000
128,1616000
256,1729000
1024,1841000
512,1982000
128,1091000
128,2043000
512,1330000
128,1411000
256,1118000
512,2550000
512,1166000
512,1871000
256,1136000
512,1519000
256,1612000
256,1920000
512,2310000
512,1046000
1024,2229000
512,2245000
512,987000
128,1441000
256,1430000
256,1596000
256,1121000
2048,2469000
256,900000
1024,2512000
512,2102000
1024,2243000
512,1447000
512,1012000
512,1886000
256,990000
512,1376000
256,1196000
128,1236000
512,1357000
256,1444000
1024,1873000
2048,3324000
1024,2534000
256,1474000
128,1500000
1024,2969000
256,961000
2048,2550000
2048,3321000
1024,2900000
256,1326000
256,2121000
1024,2160000
256,1158000
256,1034000
512,1913000
1024,1756000
512,1693000
512,2294000
128,1192000
512,2186000
2048,2557000
128,1102000
512,1098000
1024,2151000
512,1973000
512,1691000
512,2152000
256,1131000
256,1521000
1024,1911000
1024,2266000
1024,2323000
1024,2355000
512,1233000
512,1305000
1024,1840000
512,1565000
512,1696000
1024,2405000
1024,1782000
256,900000
256,2293000
128,900000
512,1995000
128,1328000
512,1761000
512,1660000
256,1276000
512,1846000
128,1140000
128,1782000
1024,2349000
256,1670000
128,1112000
512,1566000
1024,1646000
256,1289000
512,1246000
128,1840000
128,1335000
512,1729000
512,1571000
512,1740000
512,2647000
2048,2923000
512,1401000
256,1642000
1024,1111000
256,1456000
256,1282000
128,918000
128,1518000
2048,3065000
1024,1401000
512,1402000
256,900000
256,1548000
256,1544000
256,1113000
512,1877000
512,1148000
512,1274000
256,1597000
2048,2768000
512,1636000
512,1435000
512,1496000
256,1284000
256,1148000
256,1551000
1024,1870000
128,1321000
128,1024000
128,900000
128,1680000
1024,2321000
512,2576000
512,1243000
128,1232000
512,1609000
512,2057000
256,1228000
256,962000
256,1914000
512,1534000
512,2012000
128,1620000
256,1418000
512,1591000
512,1504000
1024,2116000
512,2006000
256,1112000
128,1359000
512,1213000
128,918000
512,1648000
1024,1338000
512,2485000
256,953000
512,1645000
512,2128000
512,1316000
1024,1201000
