edad,ingreso_mensual,visitas_web_mes,tiempo_sitio_min,compras_previas,descuento_usado,target
56,4229462,18,7.1,5,0,0
46,3106903,10,17.7,1,1,1
32,2641093,19,2.8,3,0,1
60,3458231,17,5.0,11,1,1
25,5200385,19,6.2,10,1,1
38,3980389,5,8.1,3,1,0
56,2561909,9,24.9,14,1,1
36,3556138,12,17.7,5,1,1
40,1010078,1,10.2,5,1,0
28,2815631,1,18.7,0,0,0
28,2304104,15,23.0,13,0,1
41,2908187,2,24.0,7,0,0
53,2559066,16,2.4,5,0,0
57,5073125,8,10.5,2,1,1
41,3048815,13,3.6,13,1,1
20,4924066,1,9.1,8,0,1
39,5406259,16,5.1,1,0,1
19,5035314,7,16.5,14,0,1
41,1810681,5,10.3,10,1,0
47,2507618,3,6.5,7,1,0
55,4796830,12,7.4,9,0,0
19,5236787,16,9.6,2,1,1
38,3655423,19,7.2,12,1,1
50,2933350,5,11.9,11,0,0
29,3211987,14,1.8,4,1,0
39,5496200,5,7.7,5,1,0
42,5571399,15,10.9,9,0,1
44,971295,17,15.5,5,0,0
59,1643974,14,7.5,3,0,0
45,5981425,20,4.2,2,0,1
33,4345376,5,2.8,3,1,0
32,6151035,12,23.6,0,1,0
20,4512600,16,11.0,3,0,0
54,1725816,16,14.9,0,0,0
24,1274705,7,23.1,11,0,0
38,4617270,4,3.0,14,0,1
26,2756926,1,22.0,0,1,0
56,2558845,5,14.2,9,0,0
35,2926793,10,5.0,13,0,0
21,1454594,5,10.9,15,0,1
42,1047718,4,19.7,5,1,0
31,5739567,2,12.5,4,0,0
26,4404473,20,24.6,13,1,1
43,3104664,10,10.0,10,0,1
19,5241747,19,19.0,14,1,1
37,2419163,1,10.4,3,1,0
45,5467920,5,20.9,12,0,1
24,1586976,13,14.7,10,0,0
25,3372189,4,2.5,2,1,0
52,4041259,16,1.9,0,1,0
31,1017796,16,4.2,5,0,0
34,2141082,2,1.3,1,0,0
53,6084502,17,2.8,7,1,1
57,5792680,20,17.6,9,1,1
21,5792306,12,13.8,4,0,1
19,5014639,18,19.0,6,1,1
23,3588130,3,22.9,9,0,0
59,4574515,1,15.0,11,1,1
21,2479159,1,18.4,1,0,0
46,1807317,19,19.2,12,0,1
35,3385367,11,10.1,7,0,0
43,5415488,5,6.8,1,1,0
51,1568234,12,5.9,3,0,0
27,1278480,3,7.0,0,0,0
53,1691971,1,7.6,14,0,0
31,1401157,1,6.0,4,0,0
48,5278727,8,22.1,8,1,1
32,5024499,10,19.2,0,0,0
25,3513501,11,2.1,8,1,0
31,6006799,12,7.4,10,1,1
40,3821944,13,1.5,14,0,1
57,5227576,12,13.0,7,0,1
38,5862140,14,12.4,5,0,0
33,3983153,2,21.0,6,0,0
35,3699487,19,8.4,2,0,1
41,3804941,18,20.6,13,0,1
43,6220385,3,24.2,14,1,1
42,3000021,17,3.1,0,0,0
58,5875778,8,20.0,4,0,1
46,2260828,10,15.2,13,1,1
32,1518467,2,12.5,11,0,0
18,6233152,19,11.1,11,1,1
42,3035619,9,19.8,1,1,0
24,4855488,7,16.3,13,0,1
26,5972148,4,20.3,4,1,1
41,5574351,18,22.7,7,0,1
18,2607923,13,15.8,10,0,1
25,6201751,11,24.5,8,0,1
41,6034207,4,15.6,1,0,0
28,1028391,4,16.3,11,1,0
34,1917026,10,14.3,2,0,0
25,5201754,5,3.2,2,0,0
52,3169042,9,18.4,0,0,0
52,2883509,3,14.1,7,1,1
50,1016381,17,11.8,15,0,1
